x,y,std
358,7523.221,16.86126208
359,7522.402,15.68643988
360,7506.383,16.94751637
361,7528.074,16.48970964
362,7483.872,15.30913505
363,7540.25,15.5741934
364,7491.692,15.30533031
365,7515.949,16.3016686
366,7513.117,15.29330935
367,7544.365,14.8223404
368,7516.208,15.42519809
369,7509.522,15.34384293
370,7488.009,15.08903307
371,7511.986,15.58800192
372,7517.273,15.2964202
373,7539.81,15.04619221
374,7525.958,15.29150862
375,7548.031,14.43468181
376,7504.894,15.2025907
377,7559.794,14.93343778
378,7492.065,15.0884981
379,7531.713,15.53224488
380,7500.693,15.7084293
381,7547.112,16.29930845
382,7562.754,15.03633878
383,7534.955,18.35181122
384,7533.184,15.4203808
385,7579.235,15.43644308
386,7507.22,15.48139529
387,7545.927,14.95585741
388,7516.035,15.45955287
389,7535.363,15.05254899
390,7545.969,15.48864226
391,7541.967,15.25601229
392,7542.954,15.07633523
393,7553.926,14.47053987
394,7534.183,16.42429636
395,7563.173,14.72498119
396,7527.94,17.30070519
397,7563.664,15.99865944
398,7540.63,15.30604782
399,7540.236,15.10742546
400,7549.974,15.12948525
401,7598.151,14.49593733
402,7531.475,19.54639033
403,7591.309,16.03924933
404,7505.859,15.06137839
405,7549.906,14.8534563
406,7545.148,14.99640277
407,7525.241,15.27196513
408,7552.131,15.25915591
409,7555.457,14.9117454
410,7542.194,15.7993153
411,7602.283,15.43589683
412,7535.134,14.79425713
413,7555.58,16.04779113
414,7518.577,15.76737362
415,7559.739,14.60591931
416,7542.678,14.93942154
417,7558.949,17.97521624
418,7543.936,14.99339535
419,7574.109,15.07431985
420,7533.621,15.53664568
421,7548.098,15.37375673
422,7533.932,15.48164642
423,7551.347,14.61487568
424,7552.535,14.80988774
425,7554.459,16.14367737
426,7554.596,15.50105751
427,7576.285,14.95278486
428,7554.455,14.6302418
429,7574.416,15.72224361
430,7540.223,17.58104863
431,7538.069,14.93359431
432,7532.533,15.48298779
433,7546.206,14.8001204
434,7553.231,15.95655473
435,7544.996,15.43444149
436,7524.894,14.66835928
437,7564.931,14.28762538
438,7534.884,15.53417343
439,7540.31,15.27088406
440,7530.271,14.92908433
441,7540.781,15.64228369
442,7532.404,15.10346927
443,7547.282,14.96063087
444,7527.807,15.61696997
445,7540.672,15.28687071
446,7522.043,14.97775521
447,7562.443,14.83222003
448,7506.897,15.49568943
449,7519.146,15.29335424
450,7527.944,15.79211398
451,7530.36,15.27332315
452,7529.424,15.03536578
453,7562.238,14.97041603
454,7516.193,15.29155816
455,7547.983,15.72293583
456,7532.138,14.9508179
457,7570.049,14.75678146
458,7525.568,15.61779037
459,7524.594,15.87416656
460,7554.45,17.36610204
461,7522.126,15.75570132
462,7539.504,22.20526928
463,7563.565,14.97684129
464,7491.108,14.7470789
465,7544.129,17.49692427
466,7507.156,15.36612066
467,7550.708,14.50588625
468,7528.353,15.10928162
469,7543.326,15.01451711
470,7547.239,15.62472013
471,7550.673,14.83651142
472,7536.199,14.93577581
473,7578.471,16.8775934
474,7539.258,15.55465962
475,7562.52,15.93397628
476,7527.377,15.04409755
477,7539.437,15.22885521
478,7579.996,14.95580101
479,7564.4,15.30973546
480,7550.527,16.13974197
481,7593.146,15.13475087
482,7531.673,15.39935294
483,7564.022,22.67420376
484,7550.55,15.21983903
485,7567.575,16.62174404
486,7554.698,15.71861304
487,7550.601,15.05794803
488,7550.955,15.01941993
489,7587.304,17.65869712
490,7537.78,16.21491906
491,7578.142,15.29927567
492,7549.631,15.87327436
493,7548.79,14.76935679
494,7554.677,15.43776768
495,7549.264,15.34660562
496,7553.165,15.41252007
497,7563.619,15.69464364
498,7548.76,15.30367276
499,7577.855,16.03608353
500,7553.756,18.50757856
501,7547.157,15.6117376
502,7546.804,15.62016594
503,7558.028,14.70289822
504,7554.269,15.50053673
505,7599.687,14.84078943
506,7542.934,14.76812933
507,7591.762,15.40244643
508,7526.146,15.66188635
509,7565.417,15.41775311
510,7536.938,15.35337605
511,7542.21,14.94482854
512,7546.715,14.82638779
513,7539.741,14.87359805
514,7547.639,15.25216965
515,7586.408,15.49933986
516,7523.929,15.55506217
517,7576.437,18.232609
518,7535.191,15.04229102
519,7565.132,15.4299895
520,7569.14,23.00609484
521,7564.156,15.71380489
522,7548.525,15.76703444
523,7571.679,15.70375621
524,7544.487,15.24676461
525,7585.82,15.70406317
526,7505.166,15.56767304
527,7568.715,14.41734286
528,7538.746,14.67560847
529,7555.793,15.64065699
530,7565.727,15.60072021
531,7559.171,15.05714976
532,7554.52,18.93862719
533,7572.514,16.1822682
534,7538.802,15.61687536
535,7572.205,15.61374315
536,7532.639,15.47451708
537,7532.433,17.47625563
538,7565.64,15.32189283
539,7553.146,16.9325333
540,7568.071,15.28894892
541,7574.275,15.29801866
542,7542.299,15.18313535
543,7595.973,15.90227251
544,7558.405,19.04995997
545,7572.591,15.69935409
546,7558.113,16.38457296
547,7581.781,16.20250101
548,7569.911,15.58682389
549,7599.95,17.23964907
550,7558.008,15.71464082
551,7566.295,15.02750728
552,7555.352,14.99326836
553,7573.997,15.20930607
554,7549.709,17.11158435
555,7568.361,15.350983
556,7559.389,15.54920188
557,7562.509,15.54174762
558,7549.261,15.62999933
559,7593.231,15.62311233
560,7559.831,15.29635378
561,7573.979,15.16082316
562,7583.158,14.72688141
563,7564.129,15.32776432
564,7576.033,15.99199522
565,7589.514,15.32768097
566,7573.898,14.93926357
567,7590.292,14.85249932
568,7534.98,15.57137117
569,7565.972,15.10427807
570,7519.134,17.62095468
571,7545.275,17.44136964
572,7551.915,15.42989874
573,7567.676,16.09332234
574,7569.756,14.84265691
575,7570.629,15.47079051
576,7531.134,15.69089048
577,7583.037,15.95523836
578,7534.354,14.90693409
579,7548.022,14.80214566
580,7567.692,16.37880142
581,7550.688,14.54271832
582,7574.304,14.44117668
583,7587.678,16.51557798
584,7568.659,15.12688729
585,7578.768,15.31437808
586,7526.178,14.28209775
587,7562.462,15.94404453
588,7534.671,15.1806047
589,7546.743,14.92826015
590,7567.318,15.91882144
591,7537.836,14.98542972
592,7550.92,15.08872427
593,7587.025,15.25170072
594,7522.043,15.34441758
595,7568.228,15.10569482
596,7531.509,15.26525201
597,7555.15,15.42314819
598,7561.94,14.7284894
599,7554.021,15.31550061
600,7543.881,15.36798097
601,7547.846,15.12495567
602,7531.065,17.56322223
603,7579.414,15.12635462
604,7517.386,15.51331699
605,7561.808,15.15087905
606,7536.919,17.06904915
607,7547.374,15.20704192
608,7535.608,14.88409675
609,7548.497,15.46609165
610,7526.101,15.31642253
611,7542.389,14.71664632
612,7510.62,14.76480951
613,7559.947,15.1751175
614,7534.633,14.74687462
615,7547.461,15.06912337
616,7539.743,14.95757169
617,7538.66,14.9315237
618,7554.506,14.55231817
619,7570.695,15.54670303
620,7520.098,15.55475477
621,7549.742,14.81686323
622,7499.397,17.40480942
623,7542.048,15.42996099
624,7515.542,17.9890032
625,7546.719,15.18044924
626,7525.554,15.1102311
627,7559.195,17.49962785
628,7539.881,17.27544034
629,7547.658,15.28512466
630,7520.296,15.12456227
631,7548.236,17.90643192
632,7529.925,15.59722331
633,7527.361,19.41259073
634,7520.925,15.78098143
635,7547.204,15.31758414
636,7517.466,17.27764
637,7544.413,15.38786636
638,7511.69,15.22359682
639,7518.615,16.74242441
640,7538.235,14.83912986
641,7507.004,15.25896405
642,7535.506,15.25666949
643,7525.986,14.97991335
644,7548.596,15.3064295
645,7581.72,17.15242257
646,7508.732,15.54799588
647,7566.434,15.20025145
648,7548.088,14.90792595
649,7527.977,14.83760328
650,7538.444,18.71044799
651,7556.116,16.04831904
652,7564.129,15.38006369
653,7540.573,17.24896145
654,7506.229,16.43790008
655,7564.217,16.8951446
656,7509.309,15.39446391
657,7537.409,15.86479496
658,7528.177,16.24098738
659,7528.71,15.42037289
660,7545.628,14.8738568
661,7537.337,15.17713514
662,7536.894,15.77842717
663,7549.498,15.24303106
664,7515.823,14.91427742
665,7545.575,14.79305158
666,7510.472,17.26624499
667,7526.198,15.74594538
668,7545.708,15.07417447
669,7513.008,15.19749769
670,7533.954,16.73791755
671,7561.955,15.097648
672,7510.686,15.39686345
673,7562.394,14.7684381
674,7526.548,16.89235614
675,7540.683,15.32085216
676,7529.843,15.10232932
677,7534.42,15.48178284
678,7537.252,15.77645385
679,7553.736,14.84716485
680,7510,15.46091847
681,7548.999,14.49941375
682,7522.101,14.4419112
683,7567.584,15.01901941
684,7528.23,15.12795756
685,7542.11,16.13319249
686,7543.424,15.18038945
687,7545.221,14.72379567
688,7523.096,15.3624472
689,7554.777,15.15880177
690,7514.291,15.42006222
691,7526.77,16.06857492
692,7511.396,15.46018059
693,7532.987,16.17772639
694,7523.632,15.07954164
695,7554.944,17.53655793
696,7538.745,14.49109985
697,7564.781,14.67865931
698,7516.101,15.08684192
699,7565.81,14.36286531
700,7530.065,15.52973841
701,7510.879,15.31092287
702,7527.058,15.126554
703,7532.455,14.77240586
704,7540.459,15.39539928
705,7554.678,16.08310654
706,7527.925,15.04451312
707,7567.529,15.4128245
708,7502.32,15.10025165
709,7546.631,14.90901871
