x,y
920,200.2444467
921,200.2180132
922,200.1915798
923,200.1651463
924,200.1387128
925,200.1122794
926,200.0858459
927,200.0594124
928,200.0329789
929,200.0065455
930,199.980112
931,199.9536785
932,199.9272451
933,199.9008116
934,199.8743781
935,199.8479446
936,199.8215112
937,199.7950777
938,199.7686442
939,199.7422108
940,199.7157773
941,199.6893438
942,199.6629104
943,199.6364769
944,199.6100434
945,199.5836099
946,199.5571765
947,199.530743
948,199.5043095
949,199.4778761
950,199.4514426
951,199.4250091
952,199.3985756
953,199.3721422
954,199.3457087
955,199.3192752
956,199.2928418
957,199.2664083
958,199.2399748
959,199.2135413
960,199.1871079
961,199.1606744
962,199.1342409
963,199.1078075
964,199.081374
965,199.0549405
966,199.0285071
967,199.0020736
968,198.9756401
969,198.9492066
970,198.9227732
971,198.8963397
972,198.8699062
973,198.8434728
974,198.8170393
975,198.7906058
976,198.7641723
977,198.7377389
978,198.7113054
979,198.6848719
980,198.6584385
981,198.632005
982,198.6055715
983,198.5791381
984,198.5527046
985,198.5262711
986,198.4998376
987,198.4734042
988,198.4469707
989,198.4205372
990,198.3941038
991,198.3676703
992,198.3412368
993,198.3148033
994,198.2883699
995,198.2619364
996,198.2355029
997,198.2090695
998,198.182636
999,198.1562025
1000,198.1297691
1001,198.1033356
1002,198.0769021
1003,198.0504686
1004,198.0240352
1005,197.9976017
1006,197.9711682
1007,197.9447348
1008,197.9183013
1009,197.8918678
1010,197.8654343
1011,197.8390009
1012,197.8125674
1013,197.7861339
1014,197.7597005
1015,197.733267
1016,197.7068335
1017,197.6804001
1018,197.6539666
1019,197.6275331
1020,197.6010996
1021,197.5746662
1022,197.5482327
1023,197.5217992
1024,197.4953658
1025,197.4689323
1026,197.4424988
1027,197.4160653
1028,197.3896319
1029,197.3631984
1030,197.3367649
1031,197.3103315
1032,197.283898
1033,197.2574645
1034,197.2310311
1035,197.2045976
1036,197.1781641
1037,197.1517306
1038,197.1252972
1039,197.0988637
1040,197.0724302
1041,197.0459968
1042,197.0195633
1043,196.9931298
1044,196.9666963
1045,196.9402629
1046,196.9138294
1047,196.8873959
1048,196.8609625
1049,196.834529
1050,196.8080955
1051,196.7816621
1052,196.7552286
1053,196.7287951
1054,196.7023616
1055,196.6759282
1056,196.6494947
1057,196.6230612
1058,196.5966278
1059,196.5701943
1060,196.5437608
1061,196.5173273
1062,196.4908939
1063,196.4644604
1064,196.4380269
1065,196.4115935
1066,196.38516
1067,196.3587265
1068,196.332293
1069,196.3058596
1070,196.2794261
1071,196.2529926
1072,196.2265592
1073,196.2001257
1074,196.1736922
1075,196.1472588
1076,196.1208253
1077,196.0943918
1078,196.0679583
1079,196.0415249
1080,196.0150914
1081,195.9886579
1082,195.9622245
1083,195.935791
1084,195.9093575
1085,195.882924
1086,195.8564906
1087,195.8300571
1088,195.8036236
1089,195.7771902
1090,195.7507567
1091,195.7243232
1092,195.6978898
1093,195.6714563
1094,195.6450228
1095,195.6185893
1096,195.5921559
1097,195.5657224
1098,195.5392889
1099,195.5128555
1100,195.486422
1101,195.4599885
1102,195.433555
1103,195.4071216
1104,195.3806881
1105,195.3542546
1106,195.3278212
1107,195.3013877
1108,195.2749542
1109,195.2485208
1110,195.2220873
1111,195.1956538
1112,195.1692203
1113,195.1427869
1114,195.1163534
1115,195.0899199
1116,195.0634865
1117,195.037053
1118,195.0106195
1119,194.984186
1120,194.9577526
1121,194.9313191
1122,194.9048856
1123,194.8784522
1124,194.8520187
1125,194.8255852
1126,194.7991518
1127,194.7727183
1128,194.7462848
1129,194.7198513
1130,194.6934179
1131,194.6669844
1132,194.6405509
1133,194.6141175
1134,194.587684
1135,194.5612505
1136,194.534817
1137,194.5083836
1138,194.4819501
1139,194.4555166
1140,194.4290832
1141,194.4026497
1142,194.3762162
1143,194.3497828
1144,194.3233493
1145,194.2969158
1146,194.2704823
1147,194.2440489
1148,194.2176154
1149,194.1911819
1150,194.1647485
1151,194.138315
1152,194.1118815
1153,194.085448
1154,194.0590146
1155,194.0325811
1156,194.0061476
1157,193.9797142
1158,193.9532807
1159,193.9268472
1160,193.9004138
1161,193.8739803
1162,193.8475468
1163,193.8211133
1164,193.7946799
1165,193.7682464
1166,193.7418129
1167,193.7153795
1168,193.688946
1169,193.6625125
1170,193.636079
1171,193.6096456
1172,193.5832121
1173,193.5567786
1174,193.5303452
1175,193.5039117
1176,193.4774782
1177,193.4510447
1178,193.4246113
1179,193.3981778
1180,193.3717443
1181,193.3453109
1182,193.3188774
1183,193.2924439
1184,193.2660105
1185,193.239577
1186,193.2131435
1187,193.18671
1188,193.1602766
1189,193.1338431
1190,193.1074096
1191,193.0809762
1192,193.0545427
1193,193.0281092
1194,193.0016757
1195,192.9752423
1196,192.9488088
1197,192.9223753
1198,192.8959419
1199,192.8695084
1200,192.8430749
1201,192.8166415
1202,192.790208
1203,192.7637745
1204,192.737341
1205,192.7109076
1206,192.6844741
1207,192.6580406
1208,192.6316072
1209,192.6051737
1210,192.5787402
1211,192.5523067
1212,192.5258733
1213,192.4994398
1214,192.4730063
1215,192.4465729
1216,192.4201394
1217,192.3937059
1218,192.3672725
1219,192.340839
1220,192.3144055
1221,192.287972
1222,192.2615386
1223,192.2351051
1224,192.2086716
1225,192.1822382
1226,192.1558047
1227,192.1293712
1228,192.1029377
1229,192.0765043
1230,192.0500708
1231,192.0236373
1232,191.9972039
1233,191.9707704
1234,191.9443369
1235,191.9179035
1236,191.89147
1237,191.8650365
1238,191.838603
1239,191.8121696
1240,191.7857361
1241,191.7593026
1242,191.7328692
1243,191.7064357
1244,191.6800022
1245,191.6535687
1246,191.6271353
1247,191.6007018
1248,191.5742683
1249,191.5478349
1250,191.5214014
1251,191.4949679
1252,191.4685345
1253,191.442101
1254,191.4156675
1255,191.389234
1256,191.3628006
1257,191.3363671
1258,191.3099336
1259,191.2835002
1260,191.2570667
1261,191.2306332
1262,191.2041997
1263,191.1777663
1264,191.1513328
1265,191.1248993
1266,191.0984659
1267,191.0720324
1268,191.0455989
1269,191.0191654
1270,190.992732
1271,190.9662985
1272,190.939865
1273,190.9134316
1274,190.8869981
1275,190.8605646
1276,190.8341312
1277,190.8076977
1278,190.7812642
1279,190.7548307
1280,190.7283973
1281,190.7019638
1282,190.6755303
1283,190.6490969
1284,190.6226634
1285,190.5962299
1286,190.5697964
1287,190.543363
1288,190.5169295
1289,190.490496
1290,190.4640626
1291,190.4376291
1292,190.4111956
1293,190.3847622
1294,190.3583287
1295,190.3318952
1296,190.3054617
1297,190.2790283
1298,190.2525948
1299,190.2261613
1300,190.1997279
1301,190.1732944
1302,190.1468609
1303,190.1204274
1304,190.093994
1305,190.0675605
1306,190.041127
1307,190.0146936
1308,189.9882601
1309,189.9618266
1310,189.9353932
1311,189.9089597
1312,189.8825262
1313,189.8560927
1314,189.8296593
1315,189.8032258
1316,189.7767923
1317,189.7503589
1318,189.7239254
1319,189.6974919
1320,189.6710584
1321,189.644625
1322,189.6181915
1323,189.591758
1324,189.5653246
1325,189.5388911
1326,189.5124576
1327,189.4860242
1328,189.4595907
1329,189.4331572
1330,189.4067237
