x,y
1060,194.1147741
1061,194.0903541
1062,194.0659341
1063,194.041514
1064,194.017094
1065,193.992674
1066,193.968254
1067,193.9438339
1068,193.9194139
1069,193.8949939
1070,193.8705739
1071,193.8461538
1072,193.8217338
1073,193.7973138
1074,193.7728938
1075,193.7484737
1076,193.7240537
1077,193.6996337
1078,193.6752137
1079,193.6507937
1080,193.6263736
1081,193.6019536
1082,193.5775336
1083,193.5531136
1084,193.5286935
1085,193.5042735
1086,193.4798535
1087,193.4554335
1088,193.4310134
1089,193.4065934
1090,193.3821734
1091,193.3577534
1092,193.3333333
1093,193.3089133
1094,193.2844933
1095,193.2600733
1096,193.2356532
1097,193.2112332
1098,193.1868132
1099,193.1623932
1100,193.1379731
1101,193.1135531
1102,193.0891331
1103,193.0647131
1104,193.040293
1105,193.015873
1106,192.991453
1107,192.967033
1108,192.9426129
1109,192.9181929
1110,192.8937729
1111,192.8693529
1112,192.8449328
1113,192.8205128
1114,192.7960928
1115,192.7716728
1116,192.7472527
1117,192.7228327
1118,192.6984127
1119,192.6739927
1120,192.6495726
1121,192.6251526
1122,192.6007326
1123,192.5763126
1124,192.5518926
1125,192.5274725
1126,192.5030525
1127,192.4786325
1128,192.4542125
1129,192.4297924
1130,192.4053724
1131,192.3809524
1132,192.3565324
1133,192.3321123
1134,192.3076923
1135,192.2832723
1136,192.2588523
1137,192.2344322
1138,192.2100122
1139,192.1855922
1140,192.1611722
1141,192.1367521
1142,192.1123321
1143,192.0879121
1144,192.0634921
1145,192.039072
1146,192.014652
1147,191.990232
1148,191.965812
1149,191.9413919
1150,191.9169719
1151,191.8925519
1152,191.8681319
1153,191.8437118
1154,191.8192918
1155,191.7948718
1156,191.7704518
1157,191.7460317
1158,191.7216117
1159,191.6971917
1160,191.6727717
1161,191.6483516
1162,191.6239316
1163,191.5995116
1164,191.5750916
1165,191.5506716
1166,191.5262515
1167,191.5018315
1168,191.4774115
1169,191.4529915
1170,191.4285714
1171,191.4041514
1172,191.3797314
1173,191.3553114
1174,191.3308913
1175,191.3064713
1176,191.2820513
1177,191.2576313
1178,191.2332112
1179,191.2087912
1180,191.1843712
1181,191.1599512
1182,191.1355311
1183,191.1111111
1184,191.0866911
1185,191.0622711
1186,191.037851
1187,191.013431
1188,190.989011
1189,190.964591
1190,190.9401709
1191,190.9157509
1192,190.8913309
